"","coef","ci.low","ci.high","ilag","name","smooth","df.date","df.tmmx","df.rmax","df.combo"
"1",0.000465119918625135,-0.000483509731521011,0.00135828554148625,0,"lag.data","ns",2,1,1,"211"
"2",0.00262110269666599,0.00178675393316041,0.00340611386093013,0,"lag.data","ns",3,1,1,"311"
"3",0.00259348324970161,0.00174778731202793,0.00338924361452071,0,"lag.data","ns",4,1,1,"411"
"4",0.00227034989615766,0.0014274890144773,0.0030644684662747,0,"lag.data","ns",5,2,2,"522"
"5",0.00231828478889661,0.00148065522547398,0.00310744149287874,0,"lag.data","ns",6,2,2,"622"
"6",0.0022929686206301,0.00145397152580663,0.00308328612975087,0,"lag.data","ns",7,2,2,"722"
"7",0.00234948066918381,0.00151322026825644,0.00313716082590209,0,"lag.data","ns",8,2,2,"822"
"8",0.00242767453974675,0.00158700512951934,0.00322007769584109,0,"lag.data","ns",9,3,3,"933"
"9",0.00249974961816643,0.00165612824345734,0.00329478768965834,0,"lag.data","ns",10,3,3,"1033"
"10",0.00139731239721686,0.000537124306628803,0.00220716998113672,1,"lag.data","ns",2,1,1,"211"
"11",0.00352405795601484,0.0027699887415497,0.00423447577315101,1,"lag.data","ns",3,1,1,"311"
"12",0.00353818368578248,0.00277288769485518,0.00425930879555499,1,"lag.data","ns",4,1,1,"411"
"13",0.00310080644305703,0.00232919002407578,0.00382875506785508,1,"lag.data","ns",5,2,2,"522"
"14",0.0031334383195792,0.00236639024297478,0.0038572286222229,1,"lag.data","ns",6,2,2,"622"
"15",0.00310408162214577,0.00233590787898728,0.00382885944742081,1,"lag.data","ns",7,2,2,"722"
"16",0.00313819914584988,0.00237209849470834,0.00386100745424855,1,"lag.data","ns",8,2,2,"822"
"17",0.003189775950538,0.00242032757122221,0.00391613437613122,1,"lag.data","ns",9,3,3,"933"
"18",0.0032330652746172,0.00246060116917576,0.00396209622119194,1,"lag.data","ns",10,3,3,"1033"
"19",0.00118102496266501,0.000289526182035565,0.00201955379649923,2,"lag.data","ns",2,1,1,"211"
"20",0.00350598555753219,0.0027309524334127,0.00423479337064568,2,"lag.data","ns",3,1,1,"311"
"21",0.00352037793714495,0.00273266338316003,0.00426132472519917,2,"lag.data","ns",4,1,1,"411"
"22",0.00299001891793956,0.00218795509199705,0.00374547941056561,2,"lag.data","ns",5,2,2,"522"
"23",0.00301916617348243,0.00222138669522021,0.00377085248565057,2,"lag.data","ns",6,2,2,"622"
"24",0.00298217356358847,0.00218274461830402,0.00373539808965679,2,"lag.data","ns",7,2,2,"722"
"25",0.00300458652028843,0.0022067288736218,0.00375633821329233,2,"lag.data","ns",8,2,2,"822"
"26",0.00300773649846957,0.00220780601751609,0.00376186293236751,2,"lag.data","ns",9,3,3,"933"
"27",0.00301713823481024,0.00221300650349074,0.00377500011100136,2,"lag.data","ns",10,3,3,"1033"
"28",0.001213976118673,0.000305536379414272,0.00206866032948138,3,"lag.data","ns",2,1,1,"211"
"29",0.00371190458481689,0.00292484771031674,0.0044519851367903,3,"lag.data","ns",3,1,1,"311"
"30",0.00372663374232433,0.00292545134967312,0.00448033958710805,3,"lag.data","ns",4,1,1,"411"
"31",0.00313094223316349,0.00231025214045858,0.00390421695757597,3,"lag.data","ns",5,2,2,"522"
"32",0.00315308254926496,0.0023357512591134,0.00392357111339377,3,"lag.data","ns",6,2,2,"622"
"33",0.00311327578126803,0.0022939732020722,0.00388568758755963,3,"lag.data","ns",7,2,2,"722"
"34",0.00312243775418648,0.00230372185306455,0.00389434886505492,3,"lag.data","ns",8,2,2,"822"
"35",0.00309874804650015,0.00227813170973575,0.00387312777057388,3,"lag.data","ns",9,3,3,"933"
"36",0.0030698411100139,0.00224322466522002,0.00384962749918547,3,"lag.data","ns",10,3,3,"1033"
